customer_id,first_name,last_name,email,age,city,signup_date,is_active
1,Name0,Surname0,user0@example.com,56,Brampton,2021-01-01,True
2,Name1,Surname1,user1@example.com,69,Brampton,2021-01-02,False
3,Name2,Surname2,user2@example.com,46,Brampton,2021-01-03,False
4,Name3,Surname3,user3@example.com,32,Scarborough,2021-01-04,True
5,Name4,Surname4,user4@example.com,60,Toronto,2021-01-05,False
6,Name5,Surname5,user5@example.com,25,Brampton,2021-01-06,False
7,Name6,Surname6,user6@example.com,38,Toronto,2021-01-07,True
8,Name7,Surname7,user7@example.com,56,Scarborough,2021-01-08,True
9,Name8,Surname8,user8@example.com,36,Mississauga,2021-01-09,False
10,Name9,Surname9,user9@example.com,40,Brampton,2021-01-10,True
11,Name10,Surname10,user10@example.com,28,Toronto,2021-01-11,False
12,Name11,Surname11,user11@example.com,28,Toronto,2021-01-12,False
13,Name12,Surname12,user12@example.com,41,Brampton,2021-01-13,False
14,Name13,Surname13,user13@example.com,53,Mississauga,2021-01-14,False
15,Name14,Surname14,user14@example.com,57,Mississauga,2021-01-15,True
16,Name15,Surname15,user15@example.com,41,Mississauga,2021-01-16,True
17,Name16,Surname16,user16@example.com,20,Scarborough,2021-01-17,True
18,Name17,Surname17,user17@example.com,39,Toronto,2021-01-18,True
19,Name18,Surname18,user18@example.com,19,Toronto,2021-01-19,False
20,Name19,Surname19,user19@example.com,41,Toronto,2021-01-20,False
21,Name20,Surname20,user20@example.com,61,Scarborough,2021-01-21,True
22,Name21,Surname21,user21@example.com,47,Toronto,2021-01-22,False
23,Name22,Surname22,user22@example.com,55,Scarborough,2021-01-23,False
24,Name23,Surname23,user23@example.com,19,Mississauga,2021-01-24,False
25,Name24,Surname24,user24@example.com,38,Brampton,2021-01-25,True
26,Name25,Surname25,user25@example.com,50,Toronto,2021-01-26,True
27,Name26,Surname26,user26@example.com,29,Toronto,2021-01-27,True
28,Name27,Surname27,user27@example.com,39,Mississauga,2021-01-28,False
29,Name28,Surname28,user28@example.com,61,Brampton,2021-01-29,True
30,Name29,Surname29,user29@example.com,42,Scarborough,2021-01-30,True
31,Name30,Surname30,user30@example.com,66,Brampton,2021-01-31,True
32,Name31,Surname31,user31@example.com,44,Mississauga,2021-02-01,True
33,Name32,Surname32,user32@example.com,59,Mississauga,2021-02-02,True
34,Name33,Surname33,user33@example.com,45,Brampton,2021-02-03,True
35,Name34,Surname34,user34@example.com,33,Scarborough,2021-02-04,False
36,Name35,Surname35,user35@example.com,32,Scarborough,2021-02-05,False
37,Name36,Surname36,user36@example.com,64,Toronto,2021-02-06,True
38,Name37,Surname37,user37@example.com,68,Scarborough,2021-02-07,True
39,Name38,Surname38,user38@example.com,61,Brampton,2021-02-08,False
40,Name39,Surname39,user39@example.com,69,Mississauga,2021-02-09,False
41,Name40,Surname40,user40@example.com,20,Toronto,2021-02-10,True
42,Name41,Surname41,user41@example.com,54,Toronto,2021-02-11,True
43,Name42,Surname42,user42@example.com,68,Mississauga,2021-02-12,True
44,Name43,Surname43,user43@example.com,24,Scarborough,2021-02-13,True
45,Name44,Surname44,user44@example.com,38,Mississauga,2021-02-14,False
46,Name45,Surname45,user45@example.com,26,Scarborough,2021-02-15,True
47,Name46,Surname46,user46@example.com,56,Mississauga,2021-02-16,True
48,Name47,Surname47,user47@example.com,35,Brampton,2021-02-17,True
49,Name48,Surname48,user48@example.com,21,Scarborough,2021-02-18,True
50,Name49,Surname49,user49@example.com,42,Brampton,2021-02-19,False
51,Name50,Surname50,user50@example.com,31,Toronto,2021-02-20,False
52,Name51,Surname51,user51@example.com,67,Mississauga,2021-02-21,False
53,Name52,Surname52,user52@example.com,26,Toronto,2021-02-22,True
54,Name53,Surname53,user53@example.com,43,Toronto,2021-02-23,True
55,Name54,Surname54,user54@example.com,19,Toronto,2021-02-24,False
56,Name55,Surname55,user55@example.com,37,Toronto,2021-02-25,True
57,Name56,Surname56,user56@example.com,45,Mississauga,2021-02-26,True
58,Name57,Surname57,user57@example.com,64,Toronto,2021-02-27,False
